Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
3,10124,,10124,,10124,Justin Gomer; Justin Gomer,,African American Studies,119,001,A,Letter Grade,A-,Selected Topics
2,10124,,10124,,10124,Justin Gomer; Justin Gomer,,African American Studies,119,001,B,Letter Grade,B+,Selected Topics
3,10124,,10124,,10124,Justin Gomer; Justin Gomer,,African American Studies,119,001,B,Letter Grade,B,Selected Topics
1,10124,,10124,,10124,Justin Gomer; Justin Gomer,,African American Studies,119,001,B,Letter Grade,B-,Selected Topics
1,10124,,10124,,10124,Justin Gomer; Justin Gomer,,African American Studies,119,001,C,Letter Grade,C,Selected Topics
2,10124,,10124,,10124,Justin Gomer; Justin Gomer,,African American Studies,119,001,C,Letter Grade,C-,Selected Topics
1,10130,,10130,,10130,Frederick Vincent; Frederick Vincent,,African American Studies,159,001,A,Letter Grade,A+,Spec Top Afam Lit
6,10130,,10130,,10130,Frederick Vincent; Frederick Vincent,,African American Studies,159,001,A,Letter Grade,A,Spec Top Afam Lit
1,10130,,10130,,10130,Frederick Vincent; Frederick Vincent,,African American Studies,159,001,A,Letter Grade,A-,Spec Top Afam Lit
3,10130,,10130,,10130,Frederick Vincent; Frederick Vincent,,African American Studies,159,001,Credit,Non-Letter Grade,Pass,Spec Top Afam Lit
3,10132,,10132,,10132,Amani Morrison; Amani Morrison; Leigh Raiford,,African American Studies,159,002,A,Letter Grade,A,Spec Top Afam Lit
1,10132,,10132,,10132,Amani Morrison; Amani Morrison; Leigh Raiford,,African American Studies,159,002,B,Letter Grade,B+,Spec Top Afam Lit
1,10132,,10132,,10132,Amani Morrison; Amani Morrison; Leigh Raiford,,African American Studies,159,002,B,Letter Grade,B,Spec Top Afam Lit
1,10132,,10132,,10132,Amani Morrison; Amani Morrison; Leigh Raiford,,African American Studies,159,002,D,Letter Grade,D+,Spec Top Afam Lit
4,10134,,10134,,10134,Ameer Loggins; Ameer Loggins; Leigh Raiford,,African American Studies,159,003,A,Letter Grade,A,Spec Top Afam Lit
2,10134,,10134,,10134,Ameer Loggins; Ameer Loggins; Leigh Raiford,,African American Studies,159,003,A,Letter Grade,A-,Spec Top Afam Lit
3,10134,,10134,,10134,Ameer Loggins; Ameer Loggins; Leigh Raiford,,African American Studies,159,003,B,Letter Grade,B+,Spec Top Afam Lit
3,10134,,10134,,10134,Ameer Loggins; Ameer Loggins; Leigh Raiford,,African American Studies,159,003,B,Letter Grade,B,Spec Top Afam Lit
1,10134,,10134,,10134,Ameer Loggins; Ameer Loggins; Leigh Raiford,,African American Studies,159,003,C,Letter Grade,C,Spec Top Afam Lit
3,10134,,10134,,10134,Ameer Loggins; Ameer Loggins; Leigh Raiford,,African American Studies,159,003,Credit,Non-Letter Grade,Pass,Spec Top Afam Lit
1,10704,,10704,,10704,Peter Berck,,Ag & Resource Econ & Pol,N299,001,Credit,Non-Letter Grade,Satisfactory,Individual Resear
2,10708,,10708,,10708,Sofia Berto Villas-Boas; Sofia Villas-Boas,,Ag & Resource Econ & Pol,N299,003,Credit,Non-Letter Grade,Satisfactory,Individual Resear
3,10716,,10716,,10716,Sofia Berto Villas-Boas; Sofia Villas-Boas,,Ag & Resource Econ & Pol,N602,003,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctor"
2,10718,,10718,,10718,Meredith Fowlie; Meredith Fowlie,,Ag & Resource Econ & Pol,N602,004,Credit,Non-Letter Grade,Satisfactory,"Ind Study, Doctor"
2,11006,,11006,,11006,Michael Cohen,,American Studies,5,001,A,Letter Grade,A,Keywords Amer Std
3,11006,,11006,,11006,Michael Cohen,,American Studies,5,001,A,Letter Grade,A-,Keywords Amer Std
2,11006,,11006,,11006,Michael Cohen,,American Studies,5,001,B,Letter Grade,B,Keywords Amer Std
1,11006,,11006,,11006,Michael Cohen,,American Studies,5,001,B,Letter Grade,B-,Keywords Amer Std
4,11006,,11006,,11006,Michael Cohen,,American Studies,5,001,C,Letter Grade,C+,Keywords Amer Std
1,11006,,11006,,11006,Michael Cohen,,American Studies,5,001,C,Letter Grade,C,Keywords Amer Std
1,11006,,11006,,11006,Michael Cohen,,American Studies,5,001,C,Letter Grade,C-,Keywords Amer Std
5,11006,,11006,,11006,Michael Cohen,,American Studies,5,001,Credit,Non-Letter Grade,Pass,Keywords Amer Std
2,11022,,11022,,11022,Kathleen Moran,,American Studies,5,002,A,Letter Grade,A,Keywords Amer Std
1,11022,,11022,,11022,Kathleen Moran,,American Studies,5,002,A,Letter Grade,A-,Keywords Amer Std
1,11022,,11022,,11022,Kathleen Moran,,American Studies,5,002,B,Letter Grade,B+,Keywords Amer Std
