Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
2,00533,,00533,,00533,Leigh Raiford; Michael Mcgee,,African American Studies,5A,001,No Credit,Non-Letter Grade,Not Pass,Afam Life & Cul U S
2,00545,,00545,,00545,David Kyeu,,African American Studies,10A,001,A,Letter Grade,A,Intermed Swahili
1,00545,,00545,,00545,David Kyeu,,African American Studies,10A,001,B,Letter Grade,B+,Intermed Swahili
1,00548,,00548,,00548,David Kyeu,,African American Studies,11A,001,A,Letter Grade,A+,Elementary Swahili
4,00548,,00548,,00548,David Kyeu,,African American Studies,11A,001,A,Letter Grade,A,Elementary Swahili
2,00548,,00548,,00548,David Kyeu,,African American Studies,11A,001,A,Letter Grade,A-,Elementary Swahili
4,00548,,00548,,00548,David Kyeu,,African American Studies,11A,001,B,Letter Grade,B+,Elementary Swahili
1,00551,,00551,,00551,David Kyeu,,African American Studies,15A,001,A,Letter Grade,A+,Advanced Swahili
3,00551,,00551,,00551,David Kyeu,,African American Studies,15A,001,A,Letter Grade,A,Advanced Swahili
19,00554,,00554,,00554,Sam Mchombo,,African American Studies,24,001,Credit,Non-Letter Grade,Pass,Freshman Seminars
11,00556,,00556,,00556,Stephen Small,,African American Studies,24,002,A,Letter Grade,A,Freshman Seminars
37,00557,,00557,,00557,Michael Cohen,,African American Studies,27AC,001,A,Letter Grade,A,Lives/Strug/Maj Cul
30,00557,,00557,,00557,Michael Cohen,,African American Studies,27AC,001,A,Letter Grade,A-,Lives/Strug/Maj Cul
12,00557,,00557,,00557,Michael Cohen,,African American Studies,27AC,001,B,Letter Grade,B+,Lives/Strug/Maj Cul
10,00557,,00557,,00557,Michael Cohen,,African American Studies,27AC,001,B,Letter Grade,B,Lives/Strug/Maj Cul
5,00557,,00557,,00557,Michael Cohen,,African American Studies,27AC,001,B,Letter Grade,B-,Lives/Strug/Maj Cul
1,00557,,00557,,00557,Michael Cohen,,African American Studies,27AC,001,C,Letter Grade,C+,Lives/Strug/Maj Cul
3,00557,,00557,,00557,Michael Cohen,,African American Studies,27AC,001,F,Letter Grade,F,Lives/Strug/Maj Cul
17,00557,,00557,,00557,Michael Cohen,,African American Studies,27AC,001,Credit,Non-Letter Grade,Pass,Lives/Strug/Maj Cul
1,00557,,00557,,00557,Michael Cohen,,African American Studies,27AC,001,No Credit,Non-Letter Grade,Not Pass,Lives/Strug/Maj Cul
3,00575,,00575,,00575,Sam Mchombo,,African American Studies,30A,001,A,Letter Grade,A+,Elementary Chichewa
2,00575,,00575,,00575,Sam Mchombo,,African American Studies,30A,001,A,Letter Grade,A,Elementary Chichewa
1,00575,,00575,,00575,Sam Mchombo,,African American Studies,30A,001,Credit,Non-Letter Grade,Pass,Elementary Chichewa
29,00581,,00581,,00581,Nailah Suad-Bakari,,African American Studies,98,002,Credit,Non-Letter Grade,Pass,Directed Group Stdy
21,00584,,00584,,00584,Nailah Suad-Bakari,,African American Studies,98,003,Credit,Non-Letter Grade,Pass,Directed Group Stdy
6,00587,,00587,,00587,Ula Taylor,,African American Studies,98,004,Credit,Non-Letter Grade,Pass,Directed Group Stdy
2,00590,,00590,,00590,Nailah Suad-Bakari,,African American Studies,98,006,Credit,Non-Letter Grade,Pass,Directed Group Stdy
26,00593,,00593,,00593,Leigh Raiford; Sonya Dugas,,African American Studies,98,007,Credit,Non-Letter Grade,Pass,Directed Group Stdy
1,00593,,00593,,00593,Leigh Raiford; Sonya Dugas,,African American Studies,98,007,No Credit,Non-Letter Grade,Not Pass,Directed Group Stdy
3,00596,,00596,,00596,Leigh Raiford,,African American Studies,98,008,Credit,Non-Letter Grade,Pass,Directed Group Stdy
7,00611,,00611,,00611,Christina Bush; Michael Cohen,,African American Studies,98BC,001,Credit,Non-Letter Grade,Pass,Directed Group Stud
3,00614,,00614,,00614,Kristen Sun; Michael Cohen,,African American Studies,98BC,002,Credit,Non-Letter Grade,Pass,Directed Group Stud
3,00620,,00620,,00620,Leigh Raiford,,African American Studies,100,001,A,Letter Grade,A,Black Intllctl Thgh
7,00620,,00620,,00620,Leigh Raiford,,African American Studies,100,001,A,Letter Grade,A-,Black Intllctl Thgh
4,00620,,00620,,00620,Leigh Raiford,,African American Studies,100,001,B,Letter Grade,B+,Black Intllctl Thgh
4,00620,,00620,,00620,Leigh Raiford,,African American Studies,100,001,B,Letter Grade,B,Black Intllctl Thgh
1,00620,,00620,,00620,Leigh Raiford,,African American Studies,100,001,C,Letter Grade,C+,Black Intllctl Thgh
1,00620,,00620,,00620,Leigh Raiford,,African American Studies,100,001,D,Letter Grade,D-,Black Intllctl Thgh
2,00620,,00620,,00620,Leigh Raiford,,African American Studies,100,001,Credit,Non-Letter Grade,Pass,Black Intllctl Thgh
3,00626,,00626,,00626,Stephen Small,,African American Studies,111,001,A,Letter Grade,A+,Race Class Gen U S
9,00626,,00626,,00626,Stephen Small,,African American Studies,111,001,A,Letter Grade,A,Race Class Gen U S
5,00626,,00626,,00626,Stephen Small,,African American Studies,111,001,A,Letter Grade,A-,Race Class Gen U S
7,00626,,00626,,00626,Stephen Small,,African American Studies,111,001,B,Letter Grade,B+,Race Class Gen U S
5,00626,,00626,,00626,Stephen Small,,African American Studies,111,001,B,Letter Grade,B,Race Class Gen U S
4,00626,,00626,,00626,Stephen Small,,African American Studies,111,001,B,Letter Grade,B-,Race Class Gen U S
1,00626,,00626,,00626,Stephen Small,,African American Studies,111,001,C,Letter Grade,C,Race Class Gen U S
1,00626,,00626,,00626,Stephen Small,,African American Studies,111,001,F,Letter Grade,F,Race Class Gen U S
9,00626,,00626,,00626,Stephen Small,,African American Studies,111,001,Credit,Non-Letter Grade,Pass,Race Class Gen U S
5,00629,,00629,,00629,Mariko Pegs; Ula Taylor,,African American Studies,116,001,A,Letter Grade,A,Slavery And African
10,00629,,00629,,00629,Mariko Pegs; Ula Taylor,,African American Studies,116,001,A,Letter Grade,A-,Slavery And African
8,00629,,00629,,00629,Mariko Pegs; Ula Taylor,,African American Studies,116,001,B,Letter Grade,B+,Slavery And African
5,00629,,00629,,00629,Mariko Pegs; Ula Taylor,,African American Studies,116,001,B,Letter Grade,B,Slavery And African
1,00629,,00629,,00629,Mariko Pegs; Ula Taylor,,African American Studies,116,001,B,Letter Grade,B-,Slavery And African
5,00629,,00629,,00629,Mariko Pegs; Ula Taylor,,African American Studies,116,001,C,Letter Grade,C+,Slavery And African
2,00629,,00629,,00629,Mariko Pegs; Ula Taylor,,African American Studies,116,001,C,Letter Grade,C,Slavery And African
1,00629,,00629,,00629,Mariko Pegs; Ula Taylor,,African American Studies,116,001,C,Letter Grade,C-,Slavery And African
2,00629,,00629,,00629,Mariko Pegs; Ula Taylor,,African American Studies,116,001,D,Letter Grade,D+,Slavery And African
1,00629,,00629,,00629,Mariko Pegs; Ula Taylor,,African American Studies,116,001,D,Letter Grade,D,Slavery And African
1,00629,,00629,,00629,Mariko Pegs; Ula Taylor,,African American Studies,116,001,D,Letter Grade,D-,Slavery And African
1,00629,,00629,,00629,Mariko Pegs; Ula Taylor,,African American Studies,116,001,F,Letter Grade,F,Slavery And African
